NUM,NAME,DESC,LAT,LON
1,하이브 인사이트,BTS 소속사 하이브에서 운영하는 뮤지엄,37.53319399,126.9643707
2,태영벤치가든,뷔의 자작곡 '윈터베어(Winter Bear)의 1주년을 맞아 팬사이트 'ipupleV'가 서울숲에 조성한 벤치가든,37.54266108,127.041317
